"trainer/global_step","SPT-64 - _step","SPT-64 - _step__MIN","SPT-64 - _step__MAX","SPT-64 - train/loss","SPT-64 - train/loss__MIN","SPT-64 - train/loss__MAX"
"1314","551","551","551","2.525998830795288","2.525998830795288","2.525998830795288"
"1319","553","553","553","2.535780191421509","2.535780191421509","2.535780191421509"
"1324","555","555","555","2.53770112991333","2.53770112991333","2.53770112991333"
"1329","557","557","557","2.6001789569854736","2.6001789569854736","2.6001789569854736"
"1334","559","559","559","2.624638557434082","2.624638557434082","2.624638557434082"
"1339","561","561","561","2.569683313369751","2.569683313369751","2.569683313369751"
"1344","563","563","563","2.416306972503662","2.416306972503662","2.416306972503662"
"1349","566","566","566","2.6353373527526855","2.6353373527526855","2.6353373527526855"
"1354","568","568","568","2.5479607582092285","2.5479607582092285","2.5479607582092285"
"1359","570","570","570","2.7039859294891357","2.7039859294891357","2.7039859294891357"
"1364","572","572","572","2.412222385406494","2.412222385406494","2.412222385406494"
"1369","574","574","574","2.734117031097412","2.734117031097412","2.734117031097412"
"1374","576","576","576","2.6980338096618652","2.6980338096618652","2.6980338096618652"
"1379","578","578","578","2.89017915725708","2.89017915725708","2.89017915725708"
"1384","580","580","580","2.7017464637756348","2.7017464637756348","2.7017464637756348"
"1389","582","582","582","2.411705255508423","2.411705255508423","2.411705255508423"
"1394","584","584","584","2.219785213470459","2.219785213470459","2.219785213470459"
"1399","587","587","587","2.425136089324951","2.425136089324951","2.425136089324951"
"1404","589","589","589","2.5903191566467285","2.5903191566467285","2.5903191566467285"
"1409","591","591","591","2.4937663078308105","2.4937663078308105","2.4937663078308105"
"1414","593","593","593","2.4767422676086426","2.4767422676086426","2.4767422676086426"
"1419","595","595","595","2.5587520599365234","2.5587520599365234","2.5587520599365234"
"1424","597","597","597","2.3838694095611572","2.3838694095611572","2.3838694095611572"
"1429","599","599","599","2.354733943939209","2.354733943939209","2.354733943939209"
"1434","601","601","601","2.4486892223358154","2.4486892223358154","2.4486892223358154"
"1439","603","603","603","2.438544511795044","2.438544511795044","2.438544511795044"
"1444","605","605","605","2.671454906463623","2.671454906463623","2.671454906463623"
