"Iter","s3dis/semseg-octformer-v1m1-0-lit - _step","s3dis/semseg-octformer-v1m1-0-lit - _step__MIN","s3dis/semseg-octformer-v1m1-0-lit - _step__MAX","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss__MIN","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss__MAX"
"280","280","280","280","1.0589021444320679","1.0589021444320679","1.0589021444320679"
"281","281","281","281","1.1141380071640015","1.1141380071640015","1.1141380071640015"
"282","282","282","282","0.9791102409362793","0.9791102409362793","0.9791102409362793"
"283","283","283","283","1.1260039806365967","1.1260039806365967","1.1260039806365967"
"284","284","284","284","1.114906907081604","1.114906907081604","1.114906907081604"
"285","285","285","285","1.0333106517791748","1.0333106517791748","1.0333106517791748"
"286","286","286","286","0.9270122647285461","0.9270122647285461","0.9270122647285461"
"287","287","287","287","0.9660033583641052","0.9660033583641052","0.9660033583641052"
"288","288","288","288","1.1289986371994019","1.1289986371994019","1.1289986371994019"
"289","289","289","289","1.1416149139404297","1.1416149139404297","1.1416149139404297"
"290","290","290","290","1.002225399017334","1.002225399017334","1.002225399017334"
"291","291","291","291","1.1953829526901245","1.1953829526901245","1.1953829526901245"
"292","292","292","292","1.0172457695007324","1.0172457695007324","1.0172457695007324"
"293","293","293","293","1.046401858329773","1.046401858329773","1.046401858329773"
"294","294","294","294","1.287023663520813","1.287023663520813","1.287023663520813"
"295","295","295","295","1.1892616748809814","1.1892616748809814","1.1892616748809814"
"296","296","296","296","1.2186346054077148","1.2186346054077148","1.2186346054077148"
"297","297","297","297","1.0109443664550781","1.0109443664550781","1.0109443664550781"
"298","298","298","298","1.0205525159835815","1.0205525159835815","1.0205525159835815"
"299","299","299","299","0.9868934154510498","0.9868934154510498","0.9868934154510498"
"300","300","300","300","1.0947126150131226","1.0947126150131226","1.0947126150131226"
"301","301","301","301","1.0262607336044312","1.0262607336044312","1.0262607336044312"
"302","302","302","302","0.9193524718284607","0.9193524718284607","0.9193524718284607"
"303","303","303","303","1.1327468156814575","1.1327468156814575","1.1327468156814575"
"304","304","304","304","1.0799739360809326","1.0799739360809326","1.0799739360809326"
"305","305","305","305","0.9307385087013245","0.9307385087013245","0.9307385087013245"
"306","306","306","306","1.2720391750335693","1.2720391750335693","1.2720391750335693"
"307","307","307","307","0.9051392078399658","0.9051392078399658","0.9051392078399658"
"308","308","308","308","1.1224013566970825","1.1224013566970825","1.1224013566970825"
"309","309","309","309","1.0021132230758667","1.0021132230758667","1.0021132230758667"
"310","310","310","310","1.00540030002594","1.00540030002594","1.00540030002594"
"311","311","311","311","1.2532848119735718","1.2532848119735718","1.2532848119735718"
"312","312","312","312","0.9410935044288635","0.9410935044288635","0.9410935044288635"
"313","313","313","313","1.1632486581802368","1.1632486581802368","1.1632486581802368"
"314","314","314","314","0.9301137328147888","0.9301137328147888","0.9301137328147888"
"315","315","315","315","1.159307837486267","1.159307837486267","1.159307837486267"
"316","316","316","316","1.0949914455413818","1.0949914455413818","1.0949914455413818"
"317","317","317","317","1.0159642696380615","1.0159642696380615","1.0159642696380615"
"318","318","318","318","1.0062506198883057","1.0062506198883057","1.0062506198883057"
"319","319","319","319","1.167497992515564","1.167497992515564","1.167497992515564"
"320","320","320","320","1.0466455221176147","1.0466455221176147","1.0466455221176147"
"321","321","321","321","0.9643913507461548","0.9643913507461548","0.9643913507461548"
"322","322","322","322","0.9379462003707886","0.9379462003707886","0.9379462003707886"
"323","323","323","323","0.9688913822174072","0.9688913822174072","0.9688913822174072"
"324","324","324","324","1.195971965789795","1.195971965789795","1.195971965789795"
"325","325","325","325","1.2328763008117676","1.2328763008117676","1.2328763008117676"
"326","326","326","326","1.1378626823425293","1.1378626823425293","1.1378626823425293"
"327","327","327","327","0.9346672892570496","0.9346672892570496","0.9346672892570496"
"328","328","328","328","1.00271737575531","1.00271737575531","1.00271737575531"
"329","329","329","329","0.9493175745010376","0.9493175745010376","0.9493175745010376"
"330","330","330","330","1.30752432346344","1.30752432346344","1.30752432346344"
"331","331","331","331","1.0160505771636963","1.0160505771636963","1.0160505771636963"
"332","332","332","332","1.0458321571350098","1.0458321571350098","1.0458321571350098"
"333","333","333","333","0.9749723672866821","0.9749723672866821","0.9749723672866821"
"334","334","334","334","1.0143616199493408","1.0143616199493408","1.0143616199493408"
"335","335","335","335","1.0794376134872437","1.0794376134872437","1.0794376134872437"
"336","336","336","336","1.3390583992004395","1.3390583992004395","1.3390583992004395"
"337","337","337","337","1.2054791450500488","1.2054791450500488","1.2054791450500488"
"338","338","338","338","0.97886061668396","0.97886061668396","0.97886061668396"
"339","339","339","339","1.056162714958191","1.056162714958191","1.056162714958191"
"340","340","340","340","1.1445428133010864","1.1445428133010864","1.1445428133010864"
"341","341","341","341","1.0107823610305786","1.0107823610305786","1.0107823610305786"
"342","342","342","342","1.0215191841125488","1.0215191841125488","1.0215191841125488"
"343","343","343","343","0.8937832117080688","0.8937832117080688","0.8937832117080688"
"344","344","344","344","1.1453648805618286","1.1453648805618286","1.1453648805618286"
"345","345","345","345","1.2228786945343018","1.2228786945343018","1.2228786945343018"
"346","346","346","346","0.9887551665306091","0.9887551665306091","0.9887551665306091"
"347","347","347","347","1.1237276792526245","1.1237276792526245","1.1237276792526245"
"348","348","348","348","0.9830672740936279","0.9830672740936279","0.9830672740936279"
"349","349","349","349","1.2566050291061401","1.2566050291061401","1.2566050291061401"
"350","350","350","350","0.8967100977897644","0.8967100977897644","0.8967100977897644"
"351","351","351","351","1.083896517753601","1.083896517753601","1.083896517753601"
"352","352","352","352","1.1385399103164673","1.1385399103164673","1.1385399103164673"
"353","353","353","353","1.0877645015716553","1.0877645015716553","1.0877645015716553"
