"Iter","s3dis/semseg-pt-v1-0-base - _step","s3dis/semseg-pt-v1-0-base - _step__MIN","s3dis/semseg-pt-v1-0-base - _step__MAX","s3dis/semseg-pt-v1-0-base - train_batch/loss","s3dis/semseg-pt-v1-0-base - train_batch/loss__MIN","s3dis/semseg-pt-v1-0-base - train_batch/loss__MAX"
"199","199","199","199","0.6770773530006409","0.6770773530006409","0.6770773530006409"
"200","200","200","200","0.6744670271873474","0.6744670271873474","0.6744670271873474"
"201","201","201","201","0.9682947993278503","0.9682947993278503","0.9682947993278503"
"202","202","202","202","0.725846529006958","0.725846529006958","0.725846529006958"
"203","203","203","203","0.6504421234130859","0.6504421234130859","0.6504421234130859"
"204","204","204","204","0.8436827063560486","0.8436827063560486","0.8436827063560486"
"205","205","205","205","0.657759428024292","0.657759428024292","0.657759428024292"
"206","206","206","206","0.811508059501648","0.811508059501648","0.811508059501648"
"207","207","207","207","0.7121943831443787","0.7121943831443787","0.7121943831443787"
"208","208","208","208","0.7724549770355225","0.7724549770355225","0.7724549770355225"
"209","209","209","209","0.6002004146575928","0.6002004146575928","0.6002004146575928"
"210","210","210","210","0.8229191899299622","0.8229191899299622","0.8229191899299622"
"211","211","211","211","0.5934458374977112","0.5934458374977112","0.5934458374977112"
"212","212","212","212","0.9442941546440125","0.9442941546440125","0.9442941546440125"
"213","213","213","213","0.8665267825126648","0.8665267825126648","0.8665267825126648"
"214","214","214","214","0.6122568249702454","0.6122568249702454","0.6122568249702454"
"215","215","215","215","0.6331459879875183","0.6331459879875183","0.6331459879875183"
"216","216","216","216","0.6057355999946594","0.6057355999946594","0.6057355999946594"
"217","217","217","217","0.7144677042961121","0.7144677042961121","0.7144677042961121"
"218","218","218","218","0.6403820514678955","0.6403820514678955","0.6403820514678955"
"219","219","219","219","0.72566157579422","0.72566157579422","0.72566157579422"
"220","220","220","220","0.7312290072441101","0.7312290072441101","0.7312290072441101"
"221","221","221","221","0.7762600779533386","0.7762600779533386","0.7762600779533386"
"222","222","222","222","0.5907189249992371","0.5907189249992371","0.5907189249992371"
"223","223","223","223","0.7564566731452942","0.7564566731452942","0.7564566731452942"
"224","224","224","224","0.7568439841270447","0.7568439841270447","0.7568439841270447"
